id,priority,phase,task,status,goal_setpoint,acceptance,boundary,evidence,dependencies,risk,notes
TODO-045,P2,M2-Drawing-014,真实接头线 / Others 几何算法证据补齐 P0,done,在实现真实接头线或 Others 几何算法前，先查清旧 VisualTS / Detail / 旧图石运行中的生成规则,已形成 `E-IDA-028 / E-DEV-067`：确认 `steeljoint-line / joints` 与 `Others / symbolcutIOS` 写出链、接头 handler、额外 line/arc writer 分支；continuation 开始时 session 缺失，已通过 `idb_open` 重新打开 `visualts_i64_todo045` 并复核关键函数；默认验证和 review 闭合后停止；没有证据不得实现算法,只读 IDA / 旧图石运行证据 / Detail 样例 / 文档；不实现真实接头线/Others几何算法；不改钢筋创建业务；不进入 golden,E-DETAIL-003；E-IDA-028；E-DEV-065；E-DEV-066；E-DEV-067；GAP-DRAW-002；GAP-DRAW-003；81_M2-Drawing-014真实接头线Others几何算法证据补齐P0实现记录.md,TODO-044,写出链已确认但参数绑定和运行触发仍未闭合,证据节点已完成；不声明真实接头线算法、Others 几何算法、AutoCAD L2、旧插件接受或完整工程图
TODO-046,P2,M2-Drawing-015,真实接头线 / Others 旧图石运行确认与参数绑定追踪 P0,done,在 TODO-045 已确认写出链的基础上继续闭合接头线半长参数绑定、枚举名和运行触发路径,已形成 `E-IDA-029 / E-DEV-068`：确认 `JointRuler / JointDistbet / JointWeldLength` 对话框/配置链、`JointWeldLength / 2000.0` 半长公式、`pattern` raw byte `0x4C ('L')`、`Others / symbolcutIOS` gate 和额外弧线 / `DrawTaoTong` 条件；默认 CTest/readiness/OCCT泄漏/文档/commit/tag/push 闭合；没有证据不得实现算法,只读 IDA / 旧图石运行证据 / Detail 样例 / 文档；可新增证据报告和 todo；不实现真实接头线/Others几何算法；不改钢筋创建业务；不进入 golden,E-IDA-028；E-IDA-029；E-DEV-067；E-DEV-068；GAP-DRAW-002；GAP-DRAW-003；81_M2-Drawing-014真实接头线Others几何算法证据补齐P0实现记录.md；82_M2-Drawing-015真实接头线Others旧图石运行确认与参数绑定追踪P0实现记录.md,TODO-045,IDA MCP 仍无法直接给出 owning enum / 结构名和旧 UI 触发；旧图石运行仍需人工；AutoCAD L2 仍 not_run,证据节点已完成；已闭合参数数学关系和 gate 止点；不声明真实接头线算法、Others 几何算法、AutoCAD L2、旧插件接受或完整工程图
TODO-047,P2,M2-Drawing-016,真实接头线 / Others 旧图石运行样例采集 P0,done,在 TODO-046 已明确参数绑定和 IDA 止点后，转旧图石运行确认收集非空样例,已执行最小旧图石启动探测并记录 stop point：`VisualTS.exe` 启动后先弹出标题为 `提示` 的阻塞框，截图可见文本前缀 `请检查网线是否...`；阻塞发生在打开 `SFL` 之前，因此未进入主界面、未执行接头命令、未导出新的 `DetailNN.stl`；CTest/readiness/OCCT泄漏/文档/commit/tag/push 闭合；没有证据不得实现算法,只读旧图石运行证据 / Detail 样例 / 文档；可新增运行记录和 todo；不实现真实接头线/Others几何算法；不改钢筋创建业务；不进入 golden,E-IDA-029；E-DEV-068；E-DEV-069；GAP-DRAW-002；GAP-DRAW-003；82_M2-Drawing-015真实接头线Others旧图石运行确认与参数绑定追踪P0实现记录.md；83_M2-Drawing-016真实接头线Others旧图石运行样例采集P0实现记录.md,TODO-046,旧图石运行受启动期阻塞提示影响；AutoCAD L2 仍 not_run,本节点以 stop-point 证据闭环；未声明非空样例、真实接头线算法、Others 几何算法、AutoCAD L2、旧插件接受或完整工程图
TODO-048,P2,Evidence,旧图石启动阻塞提示链补证 P0,done,在 TODO-047 已记录旧图石启动期 stop point 的基础上，用 IDA MCP / 静态证据补启动阻塞来源,已定位“提示 / 请检查网线是否...”的字符串来源、调用函数、错误码分支和相关许可栈侧证据，并形成用户手工解除前置条件清单；默认验证和文档闭环；没有证据不得继续猜接头样例或算法,只读 IDA / 静态证据 / 文档；不自动再次启动旧图石；不改 app 业务代码；不实现真实接头线/Others几何算法；不进入 golden,E-DEV-069；E-IDA-030；E-DEV-070；GAP-DRAW-002；GAP-DEV-010；83_M2-Drawing-016真实接头线Others旧图石运行样例采集P0实现记录.md；84_M2-Drawing-017旧图石启动阻塞提示链补证P0实现记录.md,TODO-047,启动阻塞提示可能来自资源/配置/许可/网络前置条件；当前只完成静态补证和手工清单，不代表旧图石已可运行,
TODO-049,P2,Evidence,旧图石启动前置条件用户手工确认 P0,done,基于 TODO-048 已闭合的启动阻塞主链和手工清单，由用户手工确认许可/服务/网络/license file 环境并手工重试旧图石启动,已补 agent 侧本机预检：基础网络在线、`SafeNet Sentinel / Sentinel LDK` 数据目录存在，但 `hasplms / aksfridge` 未安装、`127.0.0.1:1947/475/6001` 未监听、相关环境变量未命中、常见 `SafeNet` 安装目录未发现；已补 `E-IDA-031`：`请检查网线是否接好` 是宽兜底许可初始化失败文案；已补 `E-RUN-003 / E-RUN-004`：用户确认旧图石启动需要 USB 狗，插狗后可进入主界面、可打开 `SFL`、不需要内网，但现场仍需本地 HASP 安装条件；工作区 `HASPUserSetup` 已核查到 `HASPUserSetup.exe`、`hasplm.ini`、`haspvlib_23520.dll` 和安装说明文档，当前机器目标 HASP 目录尚不存在；本节点闭环后下一步切回非空运行样例采集；默认验证和文档闭环；没有证据不得继续猜接头样例或算法,只改运行记录/清单/文档/todo；不自动启动旧图石；不改 app 业务代码；不实现真实接头线/Others几何算法；不进入 golden,E-IDA-030；E-DEV-070；E-DEV-071；E-IDA-031；E-RUN-003；E-RUN-004；GAP-DRAW-002；GAP-DEV-010；84_M2-Drawing-017旧图石启动阻塞提示链补证P0实现记录.md；85_M2-Drawing-018旧图石启动前置条件用户手工确认P0准备记录.md,TODO-048,用户手工确认已把启动前置条件闭合；新系统仍不继承 USB 狗 / HASP 依赖,
TODO-050,P2,Evidence,旧图石非空接头线 Others 运行样例采集 P0,blocked,在 TODO-049 已确认旧图石可在 USB 狗 + 本地 HASP 安装条件下进入主界面并打开 SFL 的基础上，采至少 1 个非空 steeljoint-line / joints 或 Others / symbolcutIOS 运行样例,已补 E-IDA-032 / E-DEV-072：确认当前用户现场 USB 狗尚未插入、HASP 尚未安装，agent 不能自动安装/拷贝系统目录/启动旧图石，因此不能采到真实非空运行样例；已补 barjoint/groupjoint/goujianjoint/featjoint 三类内部命令和 handler 采样边界，并形成用户手工采样模板；没有真实运行输出不得写 done,只改运行记录/文档/追溯/todo；不自动启动旧图石；不改 app 业务代码；不实现真实接头线/Others几何算法；不进入 golden,E-IDA-028；E-IDA-029；E-IDA-032；E-DEV-067；E-DEV-068；E-DEV-072；E-RUN-004；GAP-DRAW-002；81_M2-Drawing-014真实接头线Others几何算法证据补齐P0实现记录.md；82_M2-Drawing-015真实接头线Others旧图石运行确认与参数绑定追踪P0实现记录.md；85_M2-Drawing-018旧图石启动前置条件用户手工确认P0准备记录.md；86_M2-Drawing-019旧图石非空接头线Others运行样例采集准备与阻塞记录.md,TODO-049,强依赖用户现场手工操作和输出留存；当前 USB 狗/HASP 条件未满足；旧 UI 触发路径仍可能不清晰,等待用户现场运行样例；TODO-051 已完成 producer 静态补证，当前 agent 下一步转 TODO-052 做 UI/Ribbon 静态补证
TODO-051,P2,Evidence,Others symbolcutIOS producer 与接头 UI 触发静态补证 P0,done,在 TODO-050 因用户现场旧图石运行条件 blocked 的基础上，继续用 IDA MCP 缩小 Others / symbolcutIOS producer 和接头 UI 触发路径缺口,已补 E-IDA-033 / E-DEV-073：确认 sub_14060C940 -> sub_14060A810 -> HVIEWPORT +840/+848 -> sub_14061F970 -> sub_14053A3F0 -> Others/symbolcutIOS producer 链；接头内部命令表继续保留静态线索；中文 UI caption / Ribbon 绑定仍未闭合；默认验证和文档闭环；没有证据不得猜 UI caption 或算法,只读 IDA / 静态证据 / 文档；不自动启动旧图石；不改 app 业务代码；不实现真实接头线/Others几何算法；不声明 AutoCAD L2；不进入 golden,E-IDA-032；E-DEV-072；E-IDA-033；E-DEV-073；GAP-DRAW-002；03_IDA命令证据.md；86_M2-Drawing-019旧图石非空接头线Others运行样例采集准备与阻塞记录.md；87_M2-Drawing-020OthersSymbolcutIOSProducer与接头UI触发静态补证P0实现记录.md,TODO-050,旧 UI caption / Codejock/Ribbon 资源绑定仍需静态资源补证或旧图石运行截图配合闭合,M2-Drawing-020 已完成静态 producer 补证；不声明旧运行样例、真实算法、AutoCAD L2 或 golden。
TODO-052,P2,Evidence,接头 UI caption / Ribbon 绑定静态资源补证 P0,done,已补 E-IDA-034 / E-DEV-074：接头内部 command id / handler 表更完整，sub_1406F37B0 Ribbon 构造函数未直接命中接头命令 ID，Dialog #427/#428 只证明参数字段存在；旧 UI caption 仍未闭合,已尝试资源表/字符串/命令表/xref/Ribbon 构造函数静态补证；形成用户旧图石运行截图最小清单；默认验证和文档闭环；没有把英文内部命令当中文按钮 caption,只读 IDA / 静态资源 / 文档；不自动启动旧图石；不安装 HASP；不改 app 业务代码；不实现真实接头线/Others几何算法；不声明 AutoCAD L2；不进入 golden,E-IDA-033；E-DEV-073；GAP-DRAW-002；03_IDA命令证据.md；87_M2-Drawing-020OthersSymbolcutIOSProducer与接头UI触发静态补证P0实现记录.md,TODO-051,Codejock/Ribbon caption 可能来自资源、外部 UI 数据或运行期构造，静态证据可能仍不能完全闭合,M2-Drawing-021 已完成静态 UI/Ribbon stop point；不声明旧运行样例、真实算法、AutoCAD L2 或 golden。下一步转 TODO-053 做 context menu / command dispatch 静态深追。
TODO-053,P2,Evidence,接头 context menu / command dispatch 静态深追 P0,done,在 TODO-052 已确认接头命令 ID 未直接挂入 sub_1406F37B0 Ribbon 构造路径后，继续静态查右键/对象上下文菜单/message map/command dispatch/Codejock command bar 加载路径,已补 E-IDA-035 / E-DEV-075：动态 popup/context menu 机制存在；关键路径 sub_1405C2EF0 / sub_1406BA690；LoadMenuW 资源 0xAD / 0xF8 已检查；全量 MENU 资源和 popup constructor immediate 仍不能闭合接头 UI 入口；默认验证和文档闭环；不猜中文 caption,只读 IDA / 静态资源 / 文档；不自动启动旧图石；不安装 HASP；不改 app 业务代码；不实现真实接头线/Others几何算法；不声明 AutoCAD L2；不进入 golden,E-IDA-034；E-DEV-074；E-IDA-035；E-DEV-075；GAP-DRAW-002；03_IDA命令证据.md；88_M2-Drawing-021接头UIRibbon绑定静态资源补证P0实现记录.md；89_M2-Drawing-022接头ContextMenuCommandDispatch静态深追P0实现记录.md,TODO-052,Codejock/Ribbon/context menu 绑定可能来自外部资源或运行期状态；当前静态 immediate / MENU resource / popup constructor 路径仍不能完全闭合,TODO-053 已完成静态 stop point；下一步切到 TODO-054 做 handler 业务对象筛选链静态分类。
TODO-054,P2,Evidence,接头 handler 业务对象筛选链静态分类 P0,done,在 TODO-053 UI/context menu 静态路径 stop point 后，继续分类 barjoint/groupjoint/segjoint/featjoint/goujianjoint handlers 的对象筛选、参数入口和业务对象类型,已补 E-IDA-036 / E-DEV-076：确认 barjoint/groupjoint/segjoint/featjoint 走 selection item +13 业务对象和不同 type id predicate；goujianjoint 直接筛 selection item +80 == 4 并遍历 item+120 链取 node+104 对象；已分类参数入口、失败口径和可继续追踪字段；默认验证和文档闭环；不实现算法,只读 IDA / 静态资源 / 文档；不自动启动旧图石；不安装 HASP；不改 app 业务代码；不实现真实接头线/Others几何算法；不声明 AutoCAD L2；不进入 golden,E-IDA-035；E-DEV-075；E-IDA-036；E-DEV-076；GAP-DRAW-002；GAP-DEV-010；03_IDA命令证据.md；89_M2-Drawing-022接头ContextMenuCommandDispatch静态深追P0实现记录.md；90_M2-Drawing-023接头Handler业务对象筛选链静态分类P0实现记录.md,TODO-053,handler 动作函数仍需字段级深追；静态分类仍无法命名全部 owning 结构,TODO-054 已完成静态分类；下一步切到 TODO-055 做动作函数字段语义深追。
TODO-055,P2,Evidence,接头 handler 动作函数字段语义深追 P0,next,在 TODO-054 已完成对象筛选静态分类后，继续追接头 handler 动作函数的字段语义和旧业务写回规则,形成 E-IDA-037 / E-DEV-077 或等价证据；至少覆盖 sub_1405E9640 / sub_1405E7960 / sub_1405ED6C0 / sub_1405EBA30 / sub_140446AE0 / sub_1405CEB60 / sub_14045D580；默认验证和文档闭环；不得实现算法,只读 IDA / 静态资源 / 文档；不自动启动旧图石；不安装 HASP；不改 app 业务代码；不实现真实接头线/Others几何算法；不声明 AutoCAD L2；不进入 golden,E-IDA-036；E-DEV-076；GAP-DRAW-002；GAP-DEV-010；03_IDA命令证据.md；90_M2-Drawing-023接头Handler业务对象筛选链静态分类P0实现记录.md,TODO-054,动作函数可能继续调用复杂 ACIS/显示链；字段名仍可能无法静态命名,下一步只做动作函数字段语义深追，不进入算法开发。
